uid, cores, executable, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging,
unit.000091, 4, gmx mdrun, 1167.92070007, 1571.1092, 1166.65909982, 1574.06209993, 1166.93989992, 1572.1402998, 1167.92139983, 1166.96519995, 1572.16559982, 1571.10249996, 1167.92139983, 1166.53149986, 1167.92050004, 1167.86049986, 1571.11300015
unit.000092, 1, python, 1181.17219996, 1182.52530003, 1179.31499982, 1185.52049994, 1180.28609991, 1182.9125998, 1181.17289996, 1180.3112998, 1183.70709991, 1182.51859999, 1181.17289996, 1179.18739986, 1181.17199993, 1181.16829991, 1182.55800009
unit.000093, 1, gmx grompp, 1187.49839997, 1189.64190006, 1185.70739985, 1191.87679982, 1186.49799991, 1190.65289998, 1187.49929976, 1186.5231998, 1190.67799997, 1189.63509989, 1187.4987998, 1185.57559991, 1187.49819994, 1187.47749996, 1189.64960003
unit.000094, 8, gmx mdrun, 1409.01979995, 1702.79310012, 1192.0769999, 1705.00319982, 1192.65829992, 1704.04389977, 1409.02039981, 1192.68329978, 1704.06889987, 1702.75059986, 1193.6013, 1191.94889998, 1193.60049987, 1193.5856998, 1702.79700017
unit.000095, 1, python, 1237.78609991, 1238.95009995, 1236.33709979, 1242.53689981, 1236.8651998, 1240.02829981, 1237.78679991, 1236.89099979, 1240.87589979, 1238.94339991, 1237.78670001, 1236.20959997, 1237.78579998, 1237.78209996, 1239.01279998
unit.000096, 1, python, 1398.8671999, 1400.0007, 1398.18259978, 1410.76899981, 1398.49109983, 1400.88629985, 1398.86799979, 1398.5165, 1408.06929994, 1399.99399996, 1398.86789989, 1398.05549979, 1398.86699986, 1398.86209989, 1400.02940011
unit.000097, 1, python, 1411.28219986, 1412.52890015, 1410.89409995, 1417.14619994, 1410.93859982, 1413.95239997, 1411.28289986, 1410.96369982, 1414.72279978, 1412.52219987, 1411.28279996, 1410.76729989, 1411.28189993, 1411.27729988, 1412.58319998
unit.000098, 1, gmx grompp, 1412.40790009, 1414.33420014, 1411.02569985, 1417.19689989, 1411.96589994, 1414.74849987, 1412.40869999, 1411.99099994, 1414.7744, 1414.32749987, 1412.40829992, 1410.89839983, 1412.40759993, 1412.38479996, 1414.38310003
unit.000099, 1, gmx grompp, 1418.51239991, 1421.45150018, 1417.3369, 1423.68399978, 1418.22689986, 1423.0145998, 1418.51319981, 1418.25199986, 1423.04009986, 1421.4447999, 1418.51289988, 1417.20939994, 1418.51219988, 1418.48889995, 1421.51049995
unit.000032, 1, python, 431.66260004, 433.934800148, 430.515399933, 437.246799946, 430.61169982, 434.820499897, 431.665299892, 430.636999846, 435.632799864, 433.92509985, 431.663199902, 430.387999773, 431.662299871, 431.655799866, 433.969599962
unit.000033, 1, python, 434.832999945, 436.041399956, 434.25819993, 440.454699993, 434.357499838, 437.711299896, 434.837299824, 434.3829, 439.161699772, 436.031799793, 434.833499908, 434.130999804, 434.832700014, 434.8276999, 436.050100088
unit.000030, 8, gmx mdrun, 439.846699953, 736.072800159, 134.009799957, 745.779299974, 134.172599792, 745.647300005, 439.847499847, 134.197599888, 745.672599792, 735.968399763, 134.858399868, 133.882599831, 134.857300043, 134.842799902, 736.144999981
unit.000031, 8, gmx mdrun, 728.649999857, 1092.41700006, 134.143199921, 1093.6415, 134.318399906, 1093.47159982, 728.65079999, 134.343499899, 1093.49699998, 1092.41019988, 135.145099878, 134.01639986, 135.144099951, 135.117499828, 1092.46710014
unit.000036, 1, gmx grompp, 441.996599913, 444.257800102, 440.708099842, 446.767499924, 441.592899799, 445.094399929, 442.063299894, 441.618199825, 445.119599819, 444.251099825, 441.992999792, 440.580499887, 441.996299982, 441.968400002, 444.302800179
unit.000037, 6, gmx mdrun, 445.176199913, 730.154800177, 443.811800003, 733.281899929, 444.722999811, 730.83949995, 445.180199862, 444.74819994, 730.864599943, 730.147999763, 445.176599979, 443.684699774, 445.175899982, 445.140299797, 730.187000036
unit.000034, 1, gmx grompp, 438.943199873, 440.85010004, 437.414299965, 443.610399961, 437.437299967, 441.29129982, 438.943999767, 437.462299824, 441.317799807, 440.843399763, 438.939899921, 437.286699772, 438.942899942, 437.800599813, 440.880800009
unit.000035, 1, python, 442.011300087, 443.358500004, 440.575799942, 446.818499804, 441.592499971, 444.423099995, 442.080299854, 441.617899895, 445.218299866, 443.349099874, 442.012199879, 440.441799879, 442.011100054, 441.997900009, 443.367900133
unit.000133, 1, python, 2225.07719994, 2227.62950015, 2224.70569992, 2230.94779992, 2224.7119, 2228.76729989, 2225.08169985, 2224.73709989, 2229.5618999, 2227.62299991, 2225.07799983, 2224.5783999, 2225.07690001, 2225.07259989, 2227.63940001
unit.000132, 7, gmx mdrun, 2209.65420008, 2511.93729997, 2208.69259977, 2515.96289992, 2209.26440001, 2512.79839993, 2209.6546998, 2209.28969979, 2512.82369995, 2511.93099999, 2209.65499997, 2208.56489992, 2209.65389991, 2209.59739995, 2511.98169994
unit.000038, 4, gmx mdrun, 730.153800011, 1134.52520013, 446.970999956, 1138.33069992, 447.802199841, 1135.37019992, 730.155099869, 447.827199936, 1135.39529991, 1134.51609993, 448.350299835, 446.839799881, 448.349499941, 448.300299883, 1134.60389996
unit.000039, 1, gmx grompp, 448.299000025, 451.283900023, 447.101899862, 453.084699869, 447.852399826, 452.331099987, 448.299899817, 447.877199888, 452.356099844, 451.269099951, 448.29919982, 446.975199938, 448.298700094, 448.2724998, 451.294300079
unit.000137, 1, python, 2449.89490008, 2451.13160014, 2449.0849998, 2455.35899997, 2449.57169986, 2452.06649995, 2449.89559984, 2449.60119987, 2452.87299991, 2451.12519979, 2449.89569998, 2448.95849991, 2449.89470005, 2449.88969994, 2451.15639997
unit.000136, 1, python, 2283.60339999, 2284.83520007, 2281.44579983, 2287.77629995, 2282.37269998, 2285.01639986, 2283.60399985, 2282.398, 2285.79709983, 2284.82879996, 2283.60419989, 2281.31830001, 2283.60319996, 2283.59859991, 2284.84440017
unit.000135, 3, gmx mdrun, 2238.31060004, 2734.11890006, 2236.68569994, 2737.86769986, 2237.13329983, 2734.85409999, 2238.3111999, 2237.15849996, 2734.87939978, 2734.11239982, 2238.31139994, 2236.55779982, 2238.31029987, 2238.2967999, 2734.1730001
unit.000134, 1, gmx grompp, 2232.06760001, 2235.34850001, 2231.14169979, 2236.48129988, 2231.84749985, 2235.58229995, 2232.06839991, 2231.87259984, 2235.60780001, 2235.33739996, 2232.06809998, 2230.99649978, 2232.06730008, 2232.04460001, 2235.40129995
unit.000142, 1, python, 2778.36599994, 2779.59809995, 2777.00959992, 2783.30859995, 2777.44739985, 2780.32589984, 2778.3665998, 2777.47859979, 2781.11359978, 2779.59169984, 2778.36689997, 2776.8822, 2778.3657999, 2778.36099982, 2779.62440014
